comparison	gene_id	symbol	mean_log2_reference	mean_log2_truseq	deviation_log2	direction	histone_replication_dependent	mrna_length_nt
TruSeq vs prime-seq	ENSG00000087088	BAX	3.841	8.347	4.622	over-represented in TruSeq	0	758
TruSeq vs prime-seq	ENSG00000087152	ATXN7L3	3.637	6.087	2.566	over-represented in TruSeq	0	1476
TruSeq vs prime-seq	ENSG00000088038	CNOT3	3.805	6.638	2.949	over-represented in TruSeq	0	1531
TruSeq vs prime-seq	ENSG00000088247	KHSRP	7.199	9.446	2.363	over-represented in TruSeq	0	1570
TruSeq vs prime-seq	ENSG00000088888	MAVS	7.238	3.989	-3.133	under-represented in TruSeq	0	11702
TruSeq vs prime-seq	ENSG00000089048	ESF1	7.328	4.987	-2.225	under-represented in TruSeq	0	3201
TruSeq vs prime-seq	ENSG00000089597	GANAB	4.99	8.402	3.527	over-represented in TruSeq	0	2913
TruSeq vs prime-seq	ENSG00000090447	TFAP4	3.063	5.514	2.567	over-represented in TruSeq	0	1026
TruSeq vs prime-seq	ENSG00000091483	FH	4.875	7.213	2.453	over-represented in TruSeq	0	1263
TruSeq vs prime-seq	ENSG00000091656	ZFHX4	6.947	2.945	-3.886	under-represented in TruSeq	0	11826
TruSeq vs prime-seq	ENSG00000092208	GEMIN2	3.916	6.472	2.672	over-represented in TruSeq	0	981
TruSeq vs prime-seq	ENSG00000092421	SEMA6A	6.409	4.068	-2.226	under-represented in TruSeq	0	1596
TruSeq vs prime-seq	ENSG00000092531	SNAP23	4.302	6.242	2.055	over-represented in TruSeq	0	1608
TruSeq vs prime-seq	ENSG00000092853	CLSPN	8.213	5.341	-2.756	under-represented in TruSeq	0	2521
TruSeq vs prime-seq	ENSG00000092978	GPATCH2	5.791	3.494	-2.181	under-represented in TruSeq	0	2754
TruSeq vs prime-seq	ENSG00000094916	CBX5	7.998	5.412	-2.47	under-represented in TruSeq	0	2011
TruSeq vs prime-seq	ENSG00000096401	CDC5L	8.776	5.63	-3.03	under-represented in TruSeq	0	6241
TruSeq vs prime-seq	ENSG00000099364	FBXL19	2.594	5.905	3.427	over-represented in TruSeq	0	2882
TruSeq vs prime-seq	ENSG00000099904	ZDHHC8	2.948	5.441	2.608	over-represented in TruSeq	0	1252
TruSeq vs prime-seq	ENSG00000099956	SMARCB1	5.498	8.629	3.247	over-represented in TruSeq	0	511
TruSeq vs prime-seq	ENSG00000100029	PES1	5.32	8.376	3.171	over-represented in TruSeq	0	1847
TruSeq vs prime-seq	ENSG00000100196	KDELR3	2.329	4.632	2.419	over-represented in TruSeq	0	1478
TruSeq vs prime-seq	ENSG00000100320	RBFOX2	8.485	6.233	-2.136	under-represented in TruSeq	0	4661
TruSeq vs prime-seq	ENSG00000100344	PNPLA3	5.344	3.221	-2.008	under-represented in TruSeq	0	2266
TruSeq vs prime-seq	ENSG00000100354	TNRC6B	7.606	3.518	-3.972	under-represented in TruSeq	0	11440
TruSeq vs prime-seq	ENSG00000100379	KCTD17	3.057	5.805	2.864	over-represented in TruSeq	0	1314
TruSeq vs prime-seq	ENSG00000100410	PHF5A	5.802	7.86	2.173	over-represented in TruSeq	0	537
TruSeq vs prime-seq	ENSG00000100591	AHSA1	6.875	8.979	2.22	over-represented in TruSeq	0	798
TruSeq vs prime-seq	ENSG00000100592	DAAM1	5.646	3.404	-2.127	under-represented in TruSeq	0	3364
TruSeq vs prime-seq	ENSG00000100697	DICER1	7.725	5.047	-2.562	under-represented in TruSeq	0	4411
TruSeq vs prime-seq	ENSG00000100784	RPS6KA5	5.757	3.14	-2.501	under-represented in TruSeq	0	3316
TruSeq vs prime-seq	ENSG00000100815	TRIP11	6.446	3.494	-2.836	under-represented in TruSeq	0	6693
TruSeq vs prime-seq	ENSG00000101210	EEF1A2	3.947	6.724	2.893	over-represented in TruSeq	0	1220
TruSeq vs prime-seq	ENSG00000101421	CHMP4B	4.255	7.093	2.953	over-represented in TruSeq	0	1602
TruSeq vs prime-seq	ENSG00000101745	ANKRD12	7.087	3.032	-3.939	under-represented in TruSeq	0	6505
TruSeq vs prime-seq	ENSG00000102119	EMD	5.351	8.357	3.121	over-represented in TruSeq	0	976
TruSeq vs prime-seq	ENSG00000102172	SMS	5.73	7.629	2.015	over-represented in TruSeq	0	1571
TruSeq vs prime-seq	ENSG00000102189	EEA1	6.686	3.192	-3.378	under-represented in TruSeq	0	2730
TruSeq vs prime-seq	ENSG00000102580	DNAJC3	6.33	4.07	-2.145	under-represented in TruSeq	0	5380
TruSeq vs prime-seq	ENSG00000102780	DGKH	5.95	2.712	-3.122	under-represented in TruSeq	0	13500
TruSeq vs prime-seq	ENSG00000102870	ZNF629	6.347	3.37	-2.861	under-represented in TruSeq	0	6083
TruSeq vs prime-seq	ENSG00000102908	NFAT5	5.749	2.994	-2.639	under-represented in TruSeq	0	11609
TruSeq vs prime-seq	ENSG00000103404	USP31	5.134	2.636	-2.382	under-represented in TruSeq	0	3587
TruSeq vs prime-seq	ENSG00000103512	NOMO1	5.118	7.408	2.406	over-represented in TruSeq	0	951
TruSeq vs prime-seq	ENSG00000103550	KNOP1	8.973	6.254	-2.604	under-represented in TruSeq	0	4023
TruSeq vs prime-seq	ENSG00000103994	ZNF106	7.402	4.321	-2.965	under-represented in TruSeq	0	9034
TruSeq vs prime-seq	ENSG00000103995	CEP152	6.157	3.1	-2.941	under-represented in TruSeq	0	3259
TruSeq vs prime-seq	ENSG00000104218	CSPP1	7.022	4.353	-2.553	under-represented in TruSeq	0	3285
TruSeq vs prime-seq	ENSG00000104267	CA2	6.293	8.703	2.526	over-represented in TruSeq	0	1460
TruSeq vs prime-seq	ENSG00000104290	FZD3	5.669	3.154	-2.4	under-represented in TruSeq	0	7358
TruSeq vs prime-seq	ENSG00000104325	DECR1	2.958	5.165	2.322	over-represented in TruSeq	0	866
TruSeq vs prime-seq	ENSG00000104412	EMC2	4.363	6.504	2.257	over-represented in TruSeq	0	940
TruSeq vs prime-seq	ENSG00000104427	ZC2HC1A	5.45	2.642	-2.692	under-represented in TruSeq	0	3283
TruSeq vs prime-seq	ENSG00000104824	HNRNPL	7.669	9.802	2.249	over-represented in TruSeq	0	2158
TruSeq vs prime-seq	ENSG00000104833	TUBB4A	2.37	4.726	2.473	over-represented in TruSeq	0	2047
TruSeq vs prime-seq	ENSG00000104852	SNRNP70	6.107	9.363	3.372	over-represented in TruSeq	0	1510
TruSeq vs prime-seq	ENSG00000104853	CLPTM1	4.103	6.838	2.851	over-represented in TruSeq	0	1902
TruSeq vs prime-seq	ENSG00000105085	MED26	6.171	3.845	-2.21	under-represented in TruSeq	0	2903
TruSeq vs prime-seq	ENSG00000105701	FKBP8	3.289	8.146	4.973	over-represented in TruSeq	0	1149
TruSeq vs prime-seq	ENSG00000105723	GSK3A	4.235	7.514	3.394	over-represented in TruSeq	0	761
TruSeq vs prime-seq	ENSG00000105810	CDK6	7.063	4.056	-2.891	under-represented in TruSeq	0	7603
TruSeq vs prime-seq	ENSG00000105849	POLR1F	8.023	5.45	-2.457	under-represented in TruSeq	0	658
TruSeq vs prime-seq	ENSG00000105939	ZC3HAV1	7.754	4.74	-2.899	under-represented in TruSeq	0	3936
TruSeq vs prime-seq	ENSG00000106049	HIBADH	3.376	5.638	2.378	over-represented in TruSeq	0	1811
TruSeq vs prime-seq	ENSG00000106261	ZKSCAN1	7.249	3.822	-3.311	under-represented in TruSeq	0	6621
TruSeq vs prime-seq	ENSG00000106299	WASL	6.039	3.724	-2.198	under-represented in TruSeq	0	4363
TruSeq vs prime-seq	ENSG00000106346	USP42	6.341	3.453	-2.772	under-represented in TruSeq	0	4180
TruSeq vs prime-seq	ENSG00000106524	ANKMY2	2.177	4.141	2.08	over-represented in TruSeq	0	2310
TruSeq vs prime-seq	ENSG00000107020	PLGRKT	2.849	4.857	2.123	over-represented in TruSeq	0	963
TruSeq vs prime-seq	ENSG00000107290	SETX	6.787	4.086	-2.584	under-represented in TruSeq	0	5950
TruSeq vs prime-seq	ENSG00000107581	EIF3A	10.608	7.518	-2.974	under-represented in TruSeq	0	3619
TruSeq vs prime-seq	ENSG00000107833	NPM3	5.831	8.051	2.336	over-represented in TruSeq	0	701
TruSeq vs prime-seq	ENSG00000107872	FBXL15	5.63	3.498	-2.016	under-represented in TruSeq	0	1098
TruSeq vs prime-seq	ENSG00000107890	ANKRD26	6.977	2.917	-3.944	under-represented in TruSeq	0	4423
TruSeq vs prime-seq	ENSG00000108055	SMC3	9.012	6.343	-2.553	under-represented in TruSeq	0	5041
TruSeq vs prime-seq	ENSG00000108651	UTP6	5.075	7.199	2.24	over-represented in TruSeq	0	1120
TruSeq vs prime-seq	ENSG00000108774	RAB5C	4.089	7.789	3.815	over-represented in TruSeq	0	1280
TruSeq vs prime-seq	ENSG00000108953	YWHAE	8.481	10.997	2.632	over-represented in TruSeq	0	2052
TruSeq vs prime-seq	ENSG00000109654	TRIM2	5.869	3.355	-2.399	under-represented in TruSeq	0	6049
TruSeq vs prime-seq	ENSG00000110107	PRPF19	5.826	8.416	2.706	over-represented in TruSeq	0	1974
TruSeq vs prime-seq	ENSG00000111652	COPS7A	4.119	6.65	2.647	over-represented in TruSeq	0	1750
TruSeq vs prime-seq	ENSG00000111667	USP5	4.822	6.843	2.137	over-represented in TruSeq	0	3027
TruSeq vs prime-seq	ENSG00000111676	ATN1	2.468	5.474	3.122	over-represented in TruSeq	0	4331
TruSeq vs prime-seq	ENSG00000111696	NT5DC3	5.27	2.663	-2.491	under-represented in TruSeq	0	6391
TruSeq vs prime-seq	ENSG00000111879	FAM184A	5.608	3.428	-2.065	under-represented in TruSeq	0	2753
TruSeq vs prime-seq	ENSG00000112208	BAG2	6.117	3.469	-2.533	under-represented in TruSeq	0	6651
TruSeq vs prime-seq	ENSG00000112419	PHACTR2	6.831	3.598	-3.117	under-represented in TruSeq	0	4780
TruSeq vs prime-seq	ENSG00000112773	TENT5A	5.659	2.634	-2.91	under-represented in TruSeq	0	5555
TruSeq vs prime-seq	ENSG00000112787	FBRSL1	4.125	6.965	2.956	over-represented in TruSeq	0	1657
TruSeq vs prime-seq	ENSG00000112851	ERBIN	6.412	4.211	-2.085	under-represented in TruSeq	0	6301
TruSeq vs prime-seq	ENSG00000112893	MAN2A1	5.559	3.328	-2.116	under-represented in TruSeq	0	5467
TruSeq vs prime-seq	ENSG00000113140	SPARC	3.27	5.266	2.111	over-represented in TruSeq	0	867
TruSeq vs prime-seq	ENSG00000113368	LMNB1	4.432	7.826	3.509	over-represented in TruSeq	0	2196
TruSeq vs prime-seq	ENSG00000113441	LNPEP	4.915	2.672	-2.127	under-represented in TruSeq	0	11209
TruSeq vs prime-seq	ENSG00000113522	RAD50	7.908	5.27	-2.522	under-represented in TruSeq	0	4121
TruSeq vs prime-seq	ENSG00000113583	C5orf15	4.347	6.968	2.737	over-represented in TruSeq	0	763
TruSeq vs prime-seq	ENSG00000113734	BNIP1	3.542	5.592	2.165	over-represented in TruSeq	0	1169
TruSeq vs prime-seq	ENSG00000113810	SMC4	10.307	7.41	-2.782	under-represented in TruSeq	0	3564
TruSeq vs prime-seq	ENSG00000114439	BBX	8.311	4.673	-3.522	under-represented in TruSeq	0	7103
TruSeq vs prime-seq	ENSG00000114541	FRMD4B	4.58	2.19	-2.274	under-represented in TruSeq	0	1769
TruSeq vs prime-seq	ENSG00000114739	ACVR2B	6.487	3.748	-2.622	under-represented in TruSeq	0	11660
TruSeq vs prime-seq	ENSG00000114857	NKTR	8.436	5.064	-3.257	under-represented in TruSeq	0	5473
TruSeq vs prime-seq	ENSG00000114861	FOXP1	6.973	3.957	-2.9	under-represented in TruSeq	0	3299
TruSeq vs prime-seq	ENSG00000115271	GCA	2.086	4.76	2.79	over-represented in TruSeq	0	1269
TruSeq vs prime-seq	ENSG00000115289	PCGF1	3.782	5.753	2.086	over-represented in TruSeq	0	793
TruSeq vs prime-seq	ENSG00000115306	SPTBN1	7.444	5.28	-2.048	under-represented in TruSeq	0	8151
TruSeq vs prime-seq	ENSG00000115355	CCDC88A	7.74	4.949	-2.675	under-represented in TruSeq	0	3220
TruSeq vs prime-seq	ENSG00000115457	IGFBP2	4.439	6.676	2.352	over-represented in TruSeq	0	1021
TruSeq vs prime-seq	ENSG00000115461	IGFBP5	5.048	2.551	-2.382	under-represented in TruSeq	0	812
TruSeq vs prime-seq	ENSG00000115541	HSPE1	8.836	10.988	2.268	over-represented in TruSeq	0	559
TruSeq vs prime-seq	ENSG00000115649	CNPPD1	2.752	5.471	2.835	over-represented in TruSeq	0	1832
TruSeq vs prime-seq	ENSG00000115661	STK16	3.649	5.645	2.112	over-represented in TruSeq	0	1377
TruSeq vs prime-seq	ENSG00000115760	BIRC6	7.155	4.701	-2.338	under-represented in TruSeq	0	8271
TruSeq vs prime-seq	ENSG00000115977	AAK1	5.603	2.807	-2.68	under-represented in TruSeq	0	7287
TruSeq vs prime-seq	ENSG00000116205	TCEANC2	5.721	3.389	-2.216	under-represented in TruSeq	0	7159
TruSeq vs prime-seq	ENSG00000116539	ASH1L	7.055	4.868	-2.072	under-represented in TruSeq	0	4853
TruSeq vs prime-seq	ENSG00000116580	GON4L	7.421	4.471	-2.835	under-represented in TruSeq	0	3663
TruSeq vs prime-seq	ENSG00000116747	RO60	8.632	5.209	-3.307	under-represented in TruSeq	0	5419
TruSeq vs prime-seq	ENSG00000116791	CRYZ	3.799	5.731	2.048	over-represented in TruSeq	0	1287
TruSeq vs prime-seq	ENSG00000117139	KDM5B	7.411	4.954	-2.341	under-represented in TruSeq	0	2840
TruSeq vs prime-seq	ENSG00000117479	SLC19A2	2.393	4.322	2.044	over-represented in TruSeq	0	3351
TruSeq vs prime-seq	ENSG00000117523	PRRC2C	9.745	6.823	-2.806	under-represented in TruSeq	0	6546
TruSeq vs prime-seq	ENSG00000117724	CENPF	9.629	5.858	-3.656	under-represented in TruSeq	0	7673
TruSeq vs prime-seq	ENSG00000117899	MESD	8.259	5.602	-2.542	under-represented in TruSeq	0	3985
TruSeq vs prime-seq	ENSG00000118058	KMT2A	8.176	4.9	-3.161	under-represented in TruSeq	0	8414
TruSeq vs prime-seq	ENSG00000118412	CASP8AP2	7.011	3.771	-3.124	under-represented in TruSeq	0	5391
TruSeq vs prime-seq	ENSG00000118518	RNF146	2.522	5.315	2.909	over-represented in TruSeq	0	1855
TruSeq vs prime-seq	ENSG00000118689	FOXO3	7.554	4.48	-2.958	under-represented in TruSeq	0	6766
TruSeq vs prime-seq	ENSG00000118816	CCNI	9.801	7.476	-2.209	under-represented in TruSeq	0	2114
TruSeq vs prime-seq	ENSG00000118971	CCND2	7.466	3.894	-3.456	under-represented in TruSeq	0	6180
TruSeq vs prime-seq	ENSG00000119013	NDUFB3	6.3	8.499	2.314	over-represented in TruSeq	0	502
TruSeq vs prime-seq	ENSG00000119383	PTPA	4.974	6.965	2.107	over-represented in TruSeq	0	2216
TruSeq vs prime-seq	ENSG00000119547	ONECUT2	7.483	2.507	-4.86	under-represented in TruSeq	0	16430
TruSeq vs prime-seq	ENSG00000119689	DLST	2.623	6.786	4.278	over-represented in TruSeq	0	2239
TruSeq vs prime-seq	ENSG00000119707	RBM25	9.035	6.844	-2.075	under-represented in TruSeq	0	3855
TruSeq vs prime-seq	ENSG00000119787	ATL2	4.743	6.683	2.056	over-represented in TruSeq	0	2077
TruSeq vs prime-seq	ENSG00000119969	HELLS	8.417	6.018	-2.283	under-represented in TruSeq	0	3925
TruSeq vs prime-seq	ENSG00000119986	AVPI1	4.688	2.511	-2.062	under-represented in TruSeq	0	1375
TruSeq vs prime-seq	ENSG00000120129	DUSP1	5.62	3.264	-2.24	under-represented in TruSeq	0	2013
TruSeq vs prime-seq	ENSG00000120662	MTRF1	2.07	4.357	2.404	over-represented in TruSeq	0	1203
TruSeq vs prime-seq	ENSG00000120693	SMAD9	5.982	3.377	-2.489	under-represented in TruSeq	0	5531
TruSeq vs prime-seq	ENSG00000120696	KBTBD7	5.144	2.379	-2.649	under-represented in TruSeq	0	4736
TruSeq vs prime-seq	ENSG00000120738	EGR1	5.428	1.853	-3.459	under-represented in TruSeq	0	3137
TruSeq vs prime-seq	ENSG00000121064	SCPEP1	4.109	6.197	2.205	over-represented in TruSeq	0	1595
TruSeq vs prime-seq	ENSG00000121274	TENT4B	6.044	3.877	-2.051	under-represented in TruSeq	0	4178
TruSeq vs prime-seq	ENSG00000121578	B4GALT4	2.661	4.571	2.026	over-represented in TruSeq	0	1901
TruSeq vs prime-seq	ENSG00000121691	CAT	2.766	5.206	2.556	over-represented in TruSeq	0	2014
TruSeq vs prime-seq	ENSG00000122257	RBBP6	8.783	5.647	-3.02	under-represented in TruSeq	0	4577
TruSeq vs prime-seq	ENSG00000122386	ZNF205	2.523	4.63	2.223	over-represented in TruSeq	0	1232
TruSeq vs prime-seq	ENSG00000122481	RWDD3	2.594	4.566	2.088	over-represented in TruSeq	0	1017
TruSeq vs prime-seq	ENSG00000122483	CCDC18	7.109	4.458	-2.535	under-represented in TruSeq	0	2543
TruSeq vs prime-seq	ENSG00000122696	SLC25A51	2.339	4.458	2.235	over-represented in TruSeq	0	1384
TruSeq vs prime-seq	ENSG00000122966	CIT	5.996	3.703	-2.178	under-represented in TruSeq	0	4362
TruSeq vs prime-seq	ENSG00000123104	ITPR2	6.014	2.525	-3.373	under-represented in TruSeq	0	12530
TruSeq vs prime-seq	ENSG00000123143	PKN1	2.915	6.671	3.872	over-represented in TruSeq	0	2372
TruSeq vs prime-seq	ENSG00000123200	ZC3H13	8.898	5.31	-3.472	under-represented in TruSeq	0	6478
TruSeq vs prime-seq	ENSG00000123352	SPATS2	6.646	4.432	-2.098	under-represented in TruSeq	0	2635
TruSeq vs prime-seq	ENSG00000123636	BAZ2B	5.966	3.348	-2.503	under-represented in TruSeq	0	3066
TruSeq vs prime-seq	ENSG00000123908	AGO2	7.176	4.441	-2.62	under-represented in TruSeq	0	1741
TruSeq vs prime-seq	ENSG00000124177	CHD6	6.198	3.742	-2.34	under-represented in TruSeq	0	7877
TruSeq vs prime-seq	ENSG00000124275	MTRR	3.556	5.707	2.267	over-represented in TruSeq	0	1918
TruSeq vs prime-seq	ENSG00000124593		7.159	2.853	-4.191	under-represented in TruSeq	0	3165
TruSeq vs prime-seq	ENSG00000124766	SOX4	8.923	5.181	-3.627	under-represented in TruSeq	0	4869
TruSeq vs prime-seq	ENSG00000124788	ATXN1	5.06	2.853	-2.091	under-represented in TruSeq	0	3839
TruSeq vs prime-seq	ENSG00000124831	LRRFIP1	7.903	5.738	-2.05	under-represented in TruSeq	0	3625
TruSeq vs prime-seq	ENSG00000125148	MT2A	3.631	5.81	2.295	over-represented in TruSeq	0	403
TruSeq vs prime-seq	ENSG00000125351	UPF3B	8.397	6.258	-2.024	under-represented in TruSeq	0	2293
TruSeq vs prime-seq	ENSG00000125386	FAM193A	6.176	3.663	-2.397	under-represented in TruSeq	0	4642
TruSeq vs prime-seq	ENSG00000125534	PPDPF	4.422	7.393	3.088	over-represented in TruSeq	0	795
TruSeq vs prime-seq	ENSG00000125676	THOC2	9.702	7.067	-2.52	under-represented in TruSeq	0	2815
TruSeq vs prime-seq	ENSG00000125755	SYMPK	4.365	6.296	2.046	over-represented in TruSeq	0	2459
TruSeq vs prime-seq	ENSG00000125971	DYNLRB1	6.328	8.444	2.232	over-represented in TruSeq	0	676
TruSeq vs prime-seq	ENSG00000126070	AGO3	6.321	3.693	-2.513	under-represented in TruSeq	0	5553
TruSeq vs prime-seq	ENSG00000126453	BCL2L12	5.299	7.366	2.183	over-represented in TruSeq	0	850
TruSeq vs prime-seq	ENSG00000126457	PRMT1	5.261	9.385	4.24	over-represented in TruSeq	0	1207
TruSeq vs prime-seq	ENSG00000126461	SCAF1	2.894	6.363	3.585	over-represented in TruSeq	0	3034
TruSeq vs prime-seq	ENSG00000126653	NSRP1	7.998	5.266	-2.616	under-represented in TruSeq	0	1945
TruSeq vs prime-seq	ENSG00000126746	ZNF384	2.928	6.279	3.467	over-represented in TruSeq	0	1763
TruSeq vs prime-seq	ENSG00000126777	KTN1	9.521	6.787	-2.618	under-represented in TruSeq	0	4020
TruSeq vs prime-seq	ENSG00000126870	DYNC2I1	7.479	4.112	-3.251	under-represented in TruSeq	0	3475
TruSeq vs prime-seq	ENSG00000127837	AAMP	5.987	8.288	2.416	over-represented in TruSeq	0	1434
TruSeq vs prime-seq	ENSG00000127914	AKAP9	8.317	3.602	-4.6	under-represented in TruSeq	0	8864
TruSeq vs prime-seq	ENSG00000128203	ASPHD2	5.045	2.867	-2.062	under-represented in TruSeq	0	3370
TruSeq vs prime-seq	ENSG00000129003	VPS13C	5.107	2.858	-2.133	under-represented in TruSeq	0	7730
TruSeq vs prime-seq	ENSG00000129187	DCTD	4.057	6.14	2.199	over-represented in TruSeq	0	1481
TruSeq vs prime-seq	ENSG00000129255	MPDU1	4.465	7.346	2.997	over-represented in TruSeq	0	1095
TruSeq vs prime-seq	ENSG00000129315	CCNT1	6.787	4.456	-2.215	under-represented in TruSeq	0	6583
TruSeq vs prime-seq	ENSG00000130119	GNL3L	8.025	4.947	-2.962	under-represented in TruSeq	0	6445
TruSeq vs prime-seq	ENSG00000130175	PRKCSH	4.21	8.37	4.276	over-represented in TruSeq	0	1551
TruSeq vs prime-seq	ENSG00000130311	DDA1	4.979	7.066	2.203	over-represented in TruSeq	0	1219
TruSeq vs prime-seq	ENSG00000130338	TULP4	6.212	3.144	-2.953	under-represented in TruSeq	0	4580
TruSeq vs prime-seq	ENSG00000130508	PXDN	6.179	3.552	-2.511	under-represented in TruSeq	0	6107
TruSeq vs prime-seq	ENSG00000130669	PAK4	3.548	6.057	2.625	over-represented in TruSeq	0	2053
TruSeq vs prime-seq	ENSG00000130748	TMEM160	8.256	5.443	-2.698	under-represented in TruSeq	0	655
TruSeq vs prime-seq	ENSG00000130818	ZNF426	4.605	2.453	-2.037	under-represented in TruSeq	0	4842
TruSeq vs prime-seq	ENSG00000131016	AKAP12	7.896	5.201	-2.579	under-represented in TruSeq	0	6909
TruSeq vs prime-seq	ENSG00000131116	ZNF428	2.99	6.503	3.629	over-represented in TruSeq	0	1119
TruSeq vs prime-seq	ENSG00000131187	F12	5.145	2.997	-2.032	under-represented in TruSeq	0	1437
TruSeq vs prime-seq	ENSG00000131653	TRAF7	3.744	6.215	2.586	over-represented in TruSeq	0	1854
TruSeq vs prime-seq	ENSG00000131711	MAP1B	8.616	3.435	-5.065	under-represented in TruSeq	0	11715
TruSeq vs prime-seq	ENSG00000132205	EMILIN2	4.877	2.604	-2.157	under-represented in TruSeq	0	5442
TruSeq vs prime-seq	ENSG00000132207	SLX1A	1.739	4.071	2.448	over-represented in TruSeq	0	822
TruSeq vs prime-seq	ENSG00000132254	ARFIP2	5.138	7.107	2.085	over-represented in TruSeq	0	1616
TruSeq vs prime-seq	ENSG00000132549	VPS13B	4.811	2.659	-2.036	under-represented in TruSeq	0	8867
TruSeq vs prime-seq	ENSG00000132819	RBM38	3.813	5.765	2.068	over-represented in TruSeq	0	2246
TruSeq vs prime-seq	ENSG00000132846	ZBED3	5.752	2.466	-3.171	under-represented in TruSeq	0	1436
TruSeq vs prime-seq	ENSG00000133059	DSTYK	6.122	3.244	-2.763	under-represented in TruSeq	0	8008
TruSeq vs prime-seq	ENSG00000133069	TMCC2	4.828	2.303	-2.41	under-represented in TruSeq	0	3420
TruSeq vs prime-seq	ENSG00000133226	SRRM1	9.157	7.021	-2.021	under-represented in TruSeq	0	2496
TruSeq vs prime-seq	ENSG00000133243	BTBD2	3.864	6.002	2.254	over-represented in TruSeq	0	1540
TruSeq vs prime-seq	ENSG00000133247	KMT5C	2.168	4.756	2.704	over-represented in TruSeq	0	1374
TruSeq vs prime-seq	ENSG00000133250	ZNF414	3.362	5.503	2.257	over-represented in TruSeq	0	563
TruSeq vs prime-seq	ENSG00000133863	TEX15	5.456	2.684	-2.656	under-represented in TruSeq	0	11219
TruSeq vs prime-seq	ENSG00000134285	FKBP11	4.711	2.594	-2.001	under-represented in TruSeq	0	1733
TruSeq vs prime-seq	ENSG00000134318	ROCK2	6.963	4.366	-2.481	under-represented in TruSeq	0	6438
TruSeq vs prime-seq	ENSG00000134369	NAV1	5.855	2.641	-3.099	under-represented in TruSeq	0	6992
TruSeq vs prime-seq	ENSG00000134480	CCNH	4.376	6.278	2.017	over-represented in TruSeq	0	956
TruSeq vs prime-seq	ENSG00000134809	TIMM10	5.711	7.891	2.296	over-represented in TruSeq	0	653
TruSeq vs prime-seq	ENSG00000134824	FADS2	2.876	5.136	2.375	over-represented in TruSeq	0	2139
TruSeq vs prime-seq	ENSG00000134852	CLOCK	5.753	3.039	-2.599	under-represented in TruSeq	0	7183
TruSeq vs prime-seq	ENSG00000134982	APC	6.732	3.657	-2.959	under-represented in TruSeq	0	9459
TruSeq vs prime-seq	ENSG00000135148	TRAFD1	3.955	5.957	2.118	over-represented in TruSeq	0	2372
TruSeq vs prime-seq	ENSG00000135315	CEP162	5.309	2.697	-2.497	under-represented in TruSeq	0	3520
TruSeq vs prime-seq	ENSG00000135541	AHI1	6.867	4.023	-2.729	under-represented in TruSeq	0	3018
TruSeq vs prime-seq	ENSG00000135547	HEY2	5.111	2.63	-2.365	under-represented in TruSeq	0	2608
TruSeq vs prime-seq	ENSG00000135837	CEP350	7.736	3.96	-3.66	under-represented in TruSeq	0	10665
TruSeq vs prime-seq	ENSG00000135870	RC3H1	5.358	2.879	-2.363	under-represented in TruSeq	0	1774
TruSeq vs prime-seq	ENSG00000135968	GCC2	7.003	4.059	-2.828	under-represented in TruSeq	0	5135
TruSeq vs prime-seq	ENSG00000135976	ANKRD36	7.8	2.79	-4.895	under-represented in TruSeq	0	
TruSeq vs prime-seq	ENSG00000136521	NDUFB5	4.954	7.109	2.271	over-represented in TruSeq	0	822
TruSeq vs prime-seq	ENSG00000137166	FOXP4	2.42	4.595	2.291	over-represented in TruSeq	0	4222
TruSeq vs prime-seq	ENSG00000137200	CMTR1	4.187	6.072	2.0	over-represented in TruSeq	0	3368
TruSeq vs prime-seq	ENSG00000137812	KNL1	6.083	3.86	-2.108	under-represented in TruSeq	0	8249
TruSeq vs prime-seq	ENSG00000137815	RTF1	7.82	5.498	-2.206	under-represented in TruSeq	0	4170
TruSeq vs prime-seq	ENSG00000137817	PARP6	3.72	5.764	2.16	over-represented in TruSeq	0	1426
TruSeq vs prime-seq	ENSG00000137831	UACA	6.54	3.949	-2.475	under-represented in TruSeq	0	4051
TruSeq vs prime-seq	ENSG00000137941	TTLL7	5.574	2.688	-2.771	under-represented in TruSeq	0	3732
TruSeq vs prime-seq	ENSG00000137955	RABGGTB	5.511	8.048	2.653	over-represented in TruSeq	0	1472
TruSeq vs prime-seq	ENSG00000137962	ARHGAP29	5.206	2.732	-2.358	under-represented in TruSeq	0	5074
TruSeq vs prime-seq	ENSG00000137992	DBT	5.911	3.744	-2.052	under-represented in TruSeq	0	2110
TruSeq vs prime-seq	ENSG00000138175	ARL3	6.777	4.168	-2.493	under-represented in TruSeq	0	3834
TruSeq vs prime-seq	ENSG00000138182	KIF20B	7.829	4.531	-3.183	under-represented in TruSeq	0	6161
TruSeq vs prime-seq	ENSG00000138336	TET1	6.534	2.842	-3.577	under-represented in TruSeq	0	9612
TruSeq vs prime-seq	ENSG00000138376	BARD1	7.184	3.662	-3.406	under-represented in TruSeq	0	3452
TruSeq vs prime-seq	ENSG00000138381	ASNSD1	5.055	6.973	2.033	over-represented in TruSeq	0	2160
TruSeq vs prime-seq	ENSG00000138398	PPIG	9.08	6.401	-2.564	under-represented in TruSeq	0	3027
TruSeq vs prime-seq	ENSG00000138459	SLC35A5	3.026	5.375	2.465	over-represented in TruSeq	0	1972
